,PERM_Disclosure_Data_FY2019,PERM_Disclosure_Data_FY2018_EOY,PERM_Disclosure_Data_FY17,PERM_Disclosure_Data_FY16,PERM_Disclosure_Data_FY15_Q4,PERM_FY2020_Q3
CASE_STATUS,CASE_STATUS,CASE_STATUS,CASE_STATUS,CASE_STATUS,CASE_STATUS,CASE_STATUS
CASE_RECEIVED_DATE,CASE_RECEIVED_DATE,CASE_RECEIVED_DATE,CASE_RECEIVED_DATE,CASE_RECEIVED_DATE,CASE_RECEIVED_DATE,RECEIVED_DATE
REFILE,REFILE,REFILE,REFILE,REFILE,REFILE,REFILE
EMPLOYER_STATE,EMPLOYER_STATE,EMPLOYER_STATE,EMPLOYER_STATE,EMPLOYER_STATE,EMPLOYER_STATE,EMPLOYER_STATE_PROVINCE
FW_OWNERSHIP_INTEREST,FW_OWNERSHIP_INTEREST,FW_OWNERSHIP_INTEREST,FW_OWNERSHIP_INTEREST,FW_OWNERSHIP_INTEREST,FW_OWNERSHIP_INTEREST,FW_OWNERSHIP_INTEREST
PW_SOC_CODE,PW_SOC_CODE,PW_SOC_CODE,PW_SOC_CODE,PW_SOC_CODE,PW_SOC_CODE,PW_SOC_CODE
PW_LEVEL_9089,PW_LEVEL_9089,PW_LEVEL_9089,PW_LEVEL_9089,PW_LEVEL_9089,PW_LEVEL_9089,PW_SKILL_LEVEL
JOB_INFO_WORK_STATE,JOB_INFO_WORK_STATE,JOB_INFO_WORK_STATE,JOB_INFO_WORK_STATE,JOB_INFO_WORK_STATE,JOB_INFO_WORK_STATE,WORKSITE_STATE
JOB_INFO_EDUCATION,JOB_INFO_EDUCATION,JOB_INFO_EDUCATION,JOB_INFO_EDUCATION,JOB_INFO_EDUCATION,JOB_INFO_EDUCATION,MINIMUM_EDUCATION
JOB_INFO_TRAINING,JOB_INFO_TRAINING,JOB_INFO_TRAINING,JOB_INFO_TRAINING,JOB_INFO_TRAINING,JOB_INFO_TRAINING,REQUIRED_TRAINING
JOB_INFO_ALT_FIELD,JOB_INFO_ALT_FIELD,JOB_INFO_ALT_FIELD,JOB_INFO_ALT_FIELD,JOB_INFO_ALT_FIELD,JOB_INFO_ALT_FIELD,ACCEPT_ALT_FIELD_OF_STUDY
JOB_INFO_JOB_REQ_NORMAL,JOB_INFO_JOB_REQ_NORMAL,JOB_INFO_JOB_REQ_NORMAL,JOB_INFO_JOB_REQ_NORMAL,JOB_INFO_JOB_REQ_NORMAL,JOB_INFO_JOB_REQ_NORMAL,JOB_OPP_REQUIREMENTS_NORMAL
JOB_INFO_FOREIGN_LANG_REQ,JOB_INFO_FOREIGN_LANG_REQ,JOB_INFO_FOREIGN_LANG_REQ,JOB_INFO_FOREIGN_LANG_REQ,JOB_INFO_FOREIGN_LANG_REQ,JOB_INFO_FOREIGN_LANG_REQ,FOREIGN_LANGUAGE_REQUIRED
JOB_INFO_COMBO_OCCUPATION,JOB_INFO_COMBO_OCCUPATION,JOB_INFO_COMBO_OCCUPATION,JOB_INFO_COMBO_OCCUPATION,JOB_INFO_COMBO_OCCUPATION,JOB_INFO_COMBO_OCCUPATION,COMBINATION_OCCUPATION
JI_OFFERED_TO_SEC_J_FW,JI_OFFERED_TO_SEC_J_FW,JI_OFFERED_TO_SEC_J_FW,JI_OFFERED_TO_SEC_J_FW,JI_OFFERED_TO_SEC_J_FW,JI_OFFERED_TO_SEC_J_FOREIGN_WORKER,OFFERED_TO_APPL_FOREIGN_WORKER
JI_FW_LIVE_ON_PREMISES,JI_FW_LIVE_ON_PREMISES,JI_FW_LIVE_ON_PREMISES,JI_FW_LIVE_ON_PREMISES,JI_FW_LIVE_ON_PREMISES,JI_FOREIGN_WORKER_LIVE_ON_PREMISES,FOREIGN_WORKER_LIVE_ON_PREM
JI_LIVE_IN_DOMESTIC_SERVICE,JI_LIVE_IN_DOMESTIC_SERVICE,JI_LIVE_IN_DOMESTIC_SERVICE,JI_LIVE_IN_DOMESTIC_SERVICE,JI_LIVE_IN_DOMESTIC_SERVICE,JI_LIVE_IN_DOMESTIC_SERVICE,FOREIGN_WORKER_LIVE_IN_DOM_SER
RECR_INFO_PROFESSIONAL_OCC,RECR_INFO_PROFESSIONAL_OCC,RECR_INFO_PROFESSIONAL_OCC,RECR_INFO_PROFESSIONAL_OCC,RECR_INFO_PROFESSIONAL_OCC,RECR_INFO_PROFESSIONAL_OCC,PROFESSIONAL_OCCUPATION
RECR_INFO_COLL_UNIV_TEACHER,RECR_INFO_COLL_UNIV_TEACHER,RECR_INFO_COLL_UNIV_TEACHER,RECR_INFO_COLL_UNIV_TEACHER,RECR_INFO_COLL_UNIV_TEACHER,RECR_INFO_COLL_UNIV_TEACHER,APP_FOR_COLLEGE_U_TEACHER
RECR_INFO_EMPLOYER_REC_PAYMENT,RECR_INFO_EMPLOYER_REC_PAYMENT,RECR_INFO_EMPLOYER_REC_PAYMENT,RECR_INFO_EMPLOYER_REC_PAYMENT,RECR_INFO_EMPLOYER_REC_PAYMENT,RECR_INFO_EMPLOYER_REC_PAYMENT,EMP_RECEIVED_PAYMENT
FW_INFO_BIRTH_COUNTRY,FW_INFO_BIRTH_COUNTRY,FW_INFO_BIRTH_COUNTRY,FW_INFO_BIRTH_COUNTRY,FW_INFO_BIRTH_COUNTRY,FW_INFO_BIRTH_COUNTRY,FOREIGN_WORKER_BIRTH_COUNTRY
CLASS_OF_ADMISSION,CLASS_OF_ADMISSION,CLASS_OF_ADMISSION,CLASS_OF_ADMISSION,CLASS_OF_ADMISSION,CLASS_OF_ADMISSION,CLASS_OF_ADMISSION
FOREIGN_WORKER_INFO_EDUCATION,FOREIGN_WORKER_INFO_EDUCATION,FOREIGN_WORKER_INFO_EDUCATION,FOREIGN_WORKER_INFO_EDUCATION,FOREIGN_WORKER_INFO_EDUCATION,FOREIGN_WORKER_INFO_EDUCATION,FOREIGN_WORKER_EDUCATION
FW_INFO_TRAINING_COMP,FW_INFO_TRAINING_COMP,FW_INFO_TRAINING_COMP,FW_INFO_TRAINING_COMP,FW_INFO_TRAINING_COMP,FW_INFO_TRAINING_COMP,FOREIGN_WORKER_TRAINING_COMP
EMPLOYER_DECL_INFO_TITLE,EMPLOYER_DECL_INFO_TITLE,EMPLOYER_DECL_INFO_TITLE,EMPLOYER_DECL_INFO_TITLE,EMPLOYER_DECL_INFO_TITLE,EMPLOYER_DECL_INFO_TITLE,EMP_INFO_DECL_TITLE
